"HHID","PID","PID_Old","HHID_old","DynID","h2q1","h2q3","h2q4","h2q5","h2q6","h2q7","h2q8","h2q9a","h2q9b","h2q9c","h2q10","h2q11","h2q13_1","h2q13_2","wgt_X"
"H00209-04-01","P00209-003","102100010903",1021000109,209,2,2,3,12,,1,20,28,10,1993,5,1,,,1874.79821777344
"H00209-04-01","P00209-004","102100010904",1021000109,209,3,1,3,12,,1,16,99,12,1997,5,1,,,1874.79821777344
"H00209-04-01","P00209-005","102100010905",1021000109,209,4,1,8,12,,1,23,9,10,1990,5,1,,,1874.79821777344
"H00209-04-01","P00209-006","102100010906",1021000109,209,5,2,4,12,,2,5,15,5,2008,,1,,,1874.79821777344
"H00211-04-01","P00211-001","102100011101",1021000111,211,1,1,1,10,13,1,50,22,9,1963,3,1,,,1874.79821777344
"H00211-04-01","P00211-003","102100011103",1021000111,211,2,1,3,3,15,3,19,15,99,1994,5,1,,,1874.79821777344
"H00211-04-01","P00211-004","102100011104",1021000111,211,3,1,3,3,15,3,17,99,9,1996,5,1,,,1874.79821777344
"H00211-04-01","P00211-007","102100011107",1021000111,211,4,2,8,12,,1,24,99,99,1989,5,1,,,1874.79821777344
"H00211-04-01","P00211-008","102100011108",1021000111,211,5,1,8,12,,1,23,25,11,1990,5,1,,,1874.79821777344
"H00211-04-01","P00211-009","102100011109",1021000111,211,6,1,8,12,,1,20,99,11,1993,5,1,,,1874.79821777344
"H00211-04-01","P00211-010","102100011110",1021000111,211,7,1,8,12,,2,21,99,99,1992,5,1,,,1874.79821777344
"H00213-04-01","P00213-001","102100011301",1021000113,213,1,1,1,12,,1,51,99,99,1962,4,1,,,1874.79821777344
"H00213-04-01","P00213-003","102100011303",1021000113,213,2,1,3,4,13,1,24,10,5,1989,5,1,,,1874.79821777344
"H00213-04-01","P00213-004","102100011304",1021000113,213,3,1,3,4,15,3,18,31,3,1995,5,1,,,1874.79821777344
"H00213-04-01","P00213-005","102100011305",1021000113,213,4,2,3,4,15,4,16,25,10,1997,5,1,,,1874.79821777344
"H00213-04-01","P00213-006","102100011306",1021000113,213,5,1,3,4,18,4,14,17,10,1999,5,1,,,1874.79821777344
"H00213-04-01","P00213-007","102100011307",1021000113,213,6,1,3,4,15,3,9,24,2,2005,,1,,,1874.79821777344
"H00213-04-01","P00213-011",,1021000113,,7,2,10,4,5,1,27,27,9,1986,5,1,,,1874.79821777344
"H00301-04-01","P00301-001","102100020101",1021000201,301,1,1,1,10,13,1,45,99,99,1968,1,1,,,1874.79821777344
"H00301-04-01","P00301-002","102100020102",1021000201,301,2,2,2,12,,1,43,14,9,1970,2,1,,,1874.79821777344
"H00301-04-01","P00301-003","102100020103",1021000201,301,3,1,3,4,15,3,18,21,4,1995,5,1,,,1874.79821777344
"H00301-04-01","P00301-004","102100020104",1021000201,301,4,2,3,4,15,3,14,27,9,1999,5,1,,,1874.79821777344
"H00301-04-01","P00301-006","102100020106",1021000201,301,5,1,3,12,,1,3,10,11,2010,,1,,,1874.79821777344
"H00301-04-01","P00301-008","102100020108",1021000201,301,6,2,4,12,,1,4,26,10,2009,,1,,,1874.79821777344
"H00302-04-01","P00302-001","102100020201",1021000202,302,1,1,1,12,,1,46,99,99,1967,3,1,,,1874.79821777344
"H00302-04-01","P00302-003","102100020203",1021000202,302,2,2,3,12,,1,15,25,4,1998,5,1,,,1874.79821777344
"H00303-04-01","P00303-001","102100020301",1021000203,303,1,2,1,12,,1,62,13,3,1951,4,2,,,1874.79821777344
"H00303-04-01","P00303-002","102100020302",1021000203,303,2,1,3,12,,1,41,20,4,1972,5,1,,,1874.79821777344
"H00303-04-01","P00303-005","102100020305",1021000203,303,3,2,3,12,,1,21,99,2,1992,5,1,,,1874.79821777344
"H00303-04-01","P00303-014","10210002030403",1021000203,303,5,1,4,12,,1,9,29,12,2003,,1,,,1874.79821777344
"H00303-04-01","P00303-015","10210002030404",1021000203,303,6,1,4,12,,1,6,2,12,2006,,1,,,1874.79821777344
"H00304-04-01","P00304-001","102100020401",1021000204,304,1,1,1,12,,1,40,99,99,1973,3,1,,,1874.79821777344
"H00307-04-01","P00307-001","102100020701",1021000207,307,4,1,2,4,20,1,48,99,99,1965,2,1,,,1874.79821777344
"H00307-04-01","P00307-002","102100020702",1021000207,307,1,2,1,12,,1,42,99,99,1971,2,1,,,1874.79821777344
"H00307-04-01","P00307-003","102100020703",1021000207,307,2,1,3,12,,1,13,99,99,2000,5,1,,,1874.79821777344
"H00307-04-01","P00307-005","102100020705",1021000207,307,5,1,8,12,,1,5,99,99,2008,,1,,,1874.79821777344
"H00312-04-01","P00312-001","102100021201",1021000212,312,1,2,1,12,,1,52,99,99,1961,3,1,,,1874.79821777344
"H00312-04-01","P00312-002","102100021202",1021000212,312,2,2,3,12,,1,21,99,99,1992,5,1,,,1874.79821777344
"H00312-04-01","P00312-003","102100021203",1021000212,312,3,1,3,12,,1,20,24,4,1993,5,1,,,1874.79821777344
"H00312-04-01","P00312-004","102100021204",1021000212,312,4,1,3,12,,4,8,28,9,2005,,1,,,1874.79821777344
"H00312-04-01","P00312-006","102100021206",1021000212,312,5,1,7,12,,1,20,99,99,1993,5,1,,,1874.79821777344
"H00312-04-01","P00312-007","102100021207",1021000212,312,6,1,7,12,,1,18,99,99,1995,5,1,,,1874.79821777344
"H00312-04-01","P00312-008","102100021208",1021000212,312,7,1,3,12,,1,26,99,99,1987,5,1,,,1874.79821777344
"H00313-04-01","P00313-001","102100021301",1021000213,313,1,1,1,12,,1,55,25,1,1959,1,1,,,1874.79821777344
"H00313-04-01","P00313-002","102100021302",1021000213,313,2,2,2,12,,1,46,99,99,1967,1,1,,,1874.79821777344
"H00313-04-01","P00313-005","102100021305",1021000213,313,3,2,3,12,,1,25,99,3,1988,1,1,,,1874.79821777344
"H00313-04-01","P00313-011","102100021311",1021000213,313,4,2,7,12,,1,18,99,99,1995,5,1,,,1874.79821777344
"H00313-04-01","P00313-013","102100021313",1021000213,313,5,1,7,12,,1,13,99,99,2000,5,1,,,1874.79821777344
"H00313-04-01","P00313-015","102100021315",1021000213,313,6,2,4,12,,1,6,99,99,2007,,1,,,1874.79821777344
"H00606-04-01","P00606-001","102100050601",1021000506,606,1,1,1,12,,1,50,99,99,1964,1,1,,,1874.79821777344
"H00606-04-01","P00606-002","102100050602",1021000506,606,2,2,2,12,,1,35,13,8,1978,2,1,,,1874.79821777344
"H00606-04-01","P00606-003","102100050603",1021000506,606,3,1,3,4,15,4,17,15,10,1996,5,1,,,1874.79821777344
"H00606-04-01","P00606-004","102100050604",1021000506,606,4,1,3,4,15,4,15,13,6,1999,5,1,,,1874.79821777344
"H00606-04-01","P00606-005","102100050605",1021000506,606,5,1,3,12,,1,10,4,6,2004,5,1,,,1874.79821777344
"H00704-04-01","P00704-001","102100060401",1021000604,704,1,1,1,12,,1,46,99,99,1967,1,1,,,1874.79821777344
"H00704-04-01","P00704-002","102100060402",1021000604,704,2,2,2,12,,1,46,99,99,1967,1,1,,,1874.79821777344
"H00704-04-01","P00704-003","102100060403",1021000604,704,3,1,3,4,15,4,23,99,1,1991,5,1,,,1874.79821777344
"H00704-04-01","P00704-004","102100060404",1021000604,704,4,2,3,4,15,4,19,28,7,1994,5,1,,,1874.79821777344
"H00704-04-01","P00704-005","102100060405",1021000604,704,5,1,3,8,15,1,16,25,2,1997,5,1,,,1874.79821777344
"H00704-04-01","P00704-006","102100060406",1021000604,704,6,2,3,12,,1,14,29,8,1999,5,1,,,1874.79821777344
"H00704-04-01","P00704-007","102100060407",1021000604,704,7,1,3,12,,1,10,9,8,2003,5,1,,,1874.79821777344
"H00704-04-01","P00704-008","102100060408",1021000604,704,8,1,3,12,,1,7,5,3,2006,,1,,,1874.79821777344
"H00707-04-01","P00707-001","102100060701",1021000607,707,1,2,1,12,,1,51,99,99,1963,1,1,,,1874.79821777344
"H00707-04-01","P00707-002","102100060702",1021000607,707,2,1,3,12,,1,30,99,7,1984,5,1,,,1874.79821777344
"H00707-04-01","P00707-008","102100060708",1021000607,707,3,2,6,12,,1,31,99,99,1983,5,1,,,1874.79821777344
"H00707-04-01","P00707-009","102100060709",1021000607,707,4,1,7,12,,1,25,99,99,1989,5,1,,,1874.79821777344
"H00707-04-01","P00707-010","102100060710",1021000607,707,5,1,4,12,,1,17,99,99,1997,5,1,,,1874.79821777344
"H00707-04-01","P00707-017",,1021000607,,9,1,8,12,,1,18,99,99,1996,5,1,,,1874.79821777344
"H00707-04-01","P00707-018",,1021000607,,10,2,10,5,13,1,20,99,99,1994,5,1,,,1874.79821777344
"H00710-04-01","P00710-001","102100061001",1021000610,710,1,1,1,12,,1,52,99,99,1961,2,1,,,1874.79821777344
"H00710-04-01","P00710-002","102100061002",1021000610,710,2,2,2,12,,1,49,1,1,1965,2,1,,,1874.79821777344
"H00710-04-01","P00710-003","102100061003",1021000610,710,3,2,3,3,15,4,25,99,8,1988,5,1,,,1874.79821777344
"H00710-04-01","P00710-004","102100061004",1021000610,710,4,2,3,12,,2,23,99,5,1990,5,1,,,1874.79821777344
"H00710-04-01","P00710-005","102100061005",1021000610,710,5,2,3,12,,1,17,99,12,1996,5,1,,,1874.79821777344
"H00710-04-01","P00710-006","102100061006",1021000610,710,6,1,3,12,,2,19,99,11,1994,5,1,,,1874.79821777344
"H00710-04-01","P00710-007","102100061007",1021000610,710,7,2,4,12,,1,13,7,9,2000,5,1,,,1874.79821777344
"H00712-04-01","P00712-001","102100061201",1021000612,712,1,1,1,12,,1,61,99,99,1952,1,1,,,1874.79821777344
"H00712-04-01","P00712-002","102100061202",1021000612,712,2,2,2,12,,1,49,1,12,1964,1,1,,,1874.79821777344
"H00712-04-01","P00712-005","102100061205",1021000612,712,5,2,3,12,,1,24,5,5,1989,5,1,,,1874.79821777344
"H00712-04-01","P00712-006","102100061206",1021000612,712,6,1,3,12,,1,22,23,1,1992,5,1,,,1874.79821777344
"H00801-04-01","P00801-001","102100070101",1021000701,801,1,1,1,12,,1,34,24,4,1979,1,1,,,1874.79821777344
"H00801-04-01","P00801-002","102100070102",1021000701,801,2,2,2,12,,1,30,2,11,1982,1,1,,,1874.79821777344
"H00801-04-01","P00801-003","102100070103",1021000701,801,3,1,3,12,,1,5,1,4,2008,,1,,,1874.79821777344
"H00801-04-01","P00801-008","102100070108",1021000701,801,4,1,3,12,,1,3,8,8,2010,,1,,,1874.79821777344
"H00801-04-01","P00801-014",,1021000701,,5,2,7,12,,1,13,99,99,2000,5,1,,,1874.79821777344
"H00801-04-01","P00801-015",,1021000701,,6,2,8,12,,1,20,99,99,1993,5,1,,,1874.79821777344
"H00802-04-01","P00802-001","102100070201",1021000702,802,1,1,1,12,,1,56,3,5,1957,1,1,,,1874.79821777344
"H00802-04-01","P00802-002","102100070202",1021000702,802,2,2,2,12,,1,44,99,99,1969,1,1,,,1874.79821777344
"H00802-04-01","P00802-003","102100070203",1021000702,802,3,1,3,12,,1,11,16,5,2002,5,1,,,1874.79821777344
"H00802-04-01","P00802-006","102100070206",1021000702,802,4,2,6,12,,1,24,99,99,1989,5,1,,,1874.79821777344
"H00803-04-01","P00803-001","102100070301",1021000703,803,1,2,1,12,,1,51,99,99,1962,4,1,,,1874.79821777344
"H00803-04-01","P00803-002","102100070302",1021000703,803,2,2,3,12,,1,25,28,8,1988,5,1,,,1874.79821777344
"H00803-04-01","P00803-003","102100070303",1021000703,803,3,1,3,12,,1,23,23,7,1990,5,1,,,1874.79821777344
"H00803-04-01","P00803-007","102100070305",1021000703,803,6,1,7,12,,1,12,99,99,2001,5,1,,,1874.79821777344
"H00803-04-01","P00803-009",,1021000703,,7,2,4,12,,1,1,29,8,2012,,1,,,1874.79821777344
"H00803-04-01","P00803-010",,1021000703,,8,1,7,12,,1,9,99,99,2004,,1,,,1874.79821777344
"H00805-04-01","P00805-001","102100070501",1021000705,805,1,1,1,12,,1,29,12,10,1983,1,1,,,1874.79821777344
"H00805-04-01","P00805-002","102100070502",1021000705,805,2,2,2,12,,1,21,2,2,1992,1,1,,,1874.79821777344
"H00805-04-01","P00805-003","102100070503",1021000705,805,3,1,3,12,,1,2,13,11,2010,,1,,,1874.79821777344
"H00805-04-01","P00805-004","102100070504",1021000705,805,4,1,3,12,,1,1,23,2,2012,,1,,,1874.79821777344
"H00809-04-01","P00809-001","102100070901",1021000709,809,1,1,1,12,,1,45,99,99,1968,1,1,,,1874.79821777344
"H00809-04-01","P00809-002","102100070902",1021000709,809,2,2,2,12,,1,32,22,8,1981,1,1,,,1874.79821777344
"H00809-04-01","P00809-003","102100070903",1021000709,809,3,2,6,12,,2,18,99,11,1994,5,1,,,1874.79821777344
"H00809-04-01","P00809-004","102100070904",1021000709,809,4,2,3,12,,4,17,99,99,1996,5,1,,,1874.79821777344
"H00809-04-01","P00809-005","102100070905",1021000709,809,5,1,3,3,15,4,16,99,99,1997,5,1,,,1874.79821777344
"H00809-04-01","P00809-006","102100070906",1021000709,809,6,1,3,3,15,4,14,7,3,1999,5,1,,,1874.79821777344
"H00809-04-01","P00809-007","102100070907",1021000709,809,7,1,3,12,,2,12,16,9,2001,5,1,,,1874.79821777344
"H00809-04-01","P00809-008","102100070908",1021000709,809,8,1,3,12,,2,10,19,12,2002,5,1,,,1874.79821777344
"H00809-04-01","P00809-009","102100070909",1021000709,809,9,2,3,12,,2,6,12,11,2006,,1,,,1874.79821777344
"H00809-04-01","P00809-010",,1021000709,,10,1,7,12,,1,0,12,11,2012,,1,,,1874.79821777344
"H00809-04-01","P00809-011",,1021000709,,11,1,3,9,1,2,0,7,1,2013,,1,,,1874.79821777344
"H00809-04-01","P00809-012",,1021000709,,12,2,7,6,15,1,6,99,99,2007,,1,,,1874.79821777344
"H00810-04-02","P00810-001","102100071001",,810,1,2,1,12,,1,57,12,11,1955,2,1,,,937.399108886719
"H00810-04-02","P00810-002","102100071002",,810,2,1,3,0,20,4,34,99,99,1979,1,1,,,937.399108886719
"H00810-04-02","P00810-004","102100071004",,810,3,2,3,3,15,4,35,99,10,1978,5,1,,,937.399108886719
"H00810-04-02","P00810-006","102100071006",,810,5,1,3,12,,4,24,99,99,1989,5,1,,,937.399108886719
"H00810-04-02","P00810-007","102100071007",,810,6,2,3,5,15,4,19,25,12,1993,5,1,,,937.399108886719
"H00810-04-02","P00810-008","102100071008",,810,7,1,8,12,,2,32,99,99,1981,5,2,1,106,937.399108886719
"H00810-04-02","P00810-009","102100071009",,810,8,1,8,12,,2,71,99,99,1942,5,1,,,937.399108886719
"H00810-04-02","P00810-010","102100071010",,810,9,2,7,12,,2,20,99,99,1993,5,2,1,106,937.399108886719
"H00810-04-02","P00810-011","102100071011",,810,10,1,4,12,,2,16,99,99,1997,5,1,,,937.399108886719
"H00810-04-02","P00810-016","102100071016",,810,11,1,2,12,,2,63,99,99,1950,2,1,,,937.399108886719
"H00810-04-02","P00810-017","102100071017",,810,12,1,4,12,,1,3,99,99,2010,,1,,,937.399108886719
"H00810-04-02","P00810-018",,,,13,2,4,12,,1,14,20,1,2000,5,2,1,106,937.399108886719
"H00810-04-02","P00810-019",,,,14,2,8,12,,1,28,99,99,1985,1,1,,,937.399108886719
"H00810-04-02","P00810-020",,,,15,1,4,12,,1,1,99,99,2012,,1,,,937.399108886719
"H00810-04-02","P00810-021",,,,16,2,4,12,,2,3,99,99,2010,,1,,,937.399108886719
"H00810-04-02","P00810-022",,,,17,1,4,12,,1,2,99,99,2011,,1,,,937.399108886719
"H00810-04-02","P00810-023",,,,18,2,10,12,,1,14,99,99,1999,5,2,1,108,937.399108886719
"H00810-04-02","P00810-024",,,,19,1,4,9,1,1,1,99,99,2012,,1,,,937.399108886719
"H00810-04-02","P00810-025",,,,20,2,10,1,5,3,40,99,4,1973,5,1,,,937.399108886719
"H00810-04-03","P00810-005","102100071005",,810,1,2,2,12,,1,26,99,7,1987,1,1,,,937.399108886719
"H00810-04-03","P00810-026",,,,2,1,1,12,,1,27,99,99,1986,1,1,,,937.399108886719
"H00811-04-01","P00811-001","102100071101",1021000711,811,1,1,1,12,,1,40,99,99,1973,1,1,,,1874.79821777344
"H00811-04-01","P00811-002","102100071102",1021000711,811,2,2,2,12,,1,36,99,99,1977,1,1,,,1874.79821777344
"H00811-04-01","P00811-003","102100071103",1021000711,811,3,1,3,3,15,2,18,99,99,1995,5,1,,,1874.79821777344
"H00811-04-01","P00811-004","102100071104",1021000711,811,4,2,3,3,15,4,14,99,99,1999,1,1,,,1874.79821777344
"H00811-04-01","P00811-005","102100071105",1021000711,811,5,1,3,3,15,2,9,99,99,2004,,1,,,1874.79821777344
"H00811-04-01","P00811-006","102100071106",1021000711,811,6,1,3,12,,1,4,12,11,2008,,1,,,1874.79821777344
"H01209-04-01","P01209-003","102100110903",1021001109,1209,2,1,1,8,15,2,24,25,12,1989,5,1,,,624.932739257813
"H01209-04-01","P01209-004","102100110904",1021001109,1209,3,1,3,12,,1,21,2,2,1992,5,1,,,624.932739257813
"H01209-04-01","P01209-005","102100110905",1021001109,1209,4,1,3,12,,1,19,99,11,1994,5,1,,,624.932739257813
"H01209-04-01","P01209-006","102100110906",1021001109,1209,5,2,3,12,,1,17,99,99,1996,5,1,,,624.932739257813
"H01209-04-01","P01209-007","102100110907",1021001109,1209,6,1,3,12,,1,13,99,99,2000,5,1,,,624.932739257813
"H01209-04-01","P01209-008","102100110908",1021001109,1209,7,2,3,12,,1,9,99,99,2004,,1,,,624.932739257813
"H01209-04-01","P01209-011","102100110911",1021001109,1209,8,2,8,12,,1,53,99,99,1960,4,1,,,624.932739257813
"H01209-04-01","P01209-012","102100110912",1021001109,1209,9,2,8,12,,1,58,99,99,1955,4,1,,,624.932739257813
"H01209-04-02","P01209-023","1021001109040",102100110901,1209,1,1,1,12,,1,25,99,99,1989,1,1,,,624.932739257813
"H01209-04-02","P01209-024","10210011090402",102100110901,1209,2,2,2,12,,1,22,10,3,1992,1,1,,,624.932739257813
"H01209-04-02","P01209-025","10210011090403",102100110901,1209,3,2,3,12,,1,4,24,8,2009,,1,,,624.932739257813
"H01209-04-02","P01209-026","10210011090404",102100110901,1209,4,2,3,12,,1,3,22,1,2011,,1,,,624.932739257813
"H01209-04-03","P01209-013","1021001109010",102100110903,1209,1,1,1,12,,1,70,99,99,1944,2,1,,,624.932739257813
"H01209-04-03","P01209-014","10210011090102",102100110903,1209,2,2,2,12,,1,34,99,99,1980,2,1,,,624.932739257813
"H01209-04-03","P01209-015","10210011090103",102100110903,1209,3,1,3,12,,4,7,99,99,2007,,1,,,624.932739257813
"H01209-04-03","P01209-016","10210011090104",102100110903,1209,4,1,3,12,,1,6,99,99,2008,,1,,,624.932739257813
"H01209-04-03","P01209-017","10210011090105",102100110903,1209,5,1,3,12,,4,14,99,99,2000,5,1,,,624.932739257813
"H01209-04-03","P01209-021","10210011090109",102100110903,1209,6,2,6,12,,1,18,14,6,1996,5,1,,,624.932739257813
"H01209-04-03","P01209-027","10210011090111",102100110903,1209,7,1,3,12,,1,2,24,1,2012,,1,,,624.932739257813
"H01210-04-01","P01210-001","102100111001",1021001110,1210,1,1,1,12,,1,40,12,3,1973,1,1,,,1874.79809570313
"H01210-04-01","P01210-002","102100111002",1021001110,1210,2,2,2,3,13,3,37,28,2,1976,1,2,,,1874.79809570313
"H01210-04-01","P01210-003","102100111003",1021001110,1210,3,2,3,12,,1,17,28,2,1996,5,1,,,1874.79809570313
"H01210-04-01","P01210-004","102100111004",1021001110,1210,4,2,3,12,,1,16,11,12,1997,5,2,,,1874.79809570313
"H01210-04-01","P01210-005","102100111005",1021001110,1210,5,2,3,12,,1,9,9,11,2004,,1,,,1874.79809570313
"H01210-04-01","P01210-006","102100111006",1021001110,1210,6,1,3,3,15,3,6,4,3,2007,,2,,,1874.79809570313
"H01210-04-01","P01210-010",,1021001110,,7,2,3,12,,1,2,99,10,2011,,1,,,1874.79809570313
"H01401-04-01","P01401-002","102100130102",1021001301,1401,1,1,1,12,,1,33,99,99,1980,5,1,,,1874.79821777344
"H01401-04-01","P01401-009",,1021001301,,8,1,6,5,20,1,23,12,12,1990,5,1,,,1874.79821777344
"H01401-04-01","P01401-010",,1021001301,,9,2,6,6,20,1,21,8,6,1992,5,1,,,1874.79821777344
"H01402-04-01","P01402-001","102100130201",1021001302,1402,1,2,1,12,,1,49,11,11,1964,4,1,,,1874.79821777344
"H01402-04-01","P01402-003","102100130203",1021001302,1402,3,1,7,12,,1,29,10,5,1984,5,1,,,1874.79821777344
"H01402-04-01","P01402-008",,1021001302,,6,2,10,12,,1,24,23,2,1990,5,1,,,1874.79821777344
"H01402-04-01","P01402-009",,1021001302,,7,2,10,8,20,1,18,23,2,1996,5,1,,,1874.79821777344
"H01406-04-01","P01406-001","102100130601",1021001306,1406,1,1,1,12,,1,51,6,11,1962,1,1,,,1874.79821777344
"H01406-04-01","P01406-002","102100130602",1021001306,1406,2,2,3,12,,1,26,18,5,1987,5,1,,,1874.79821777344
"H01406-04-01","P01406-003","102100130603",1021001306,1406,3,2,3,12,,1,24,13,6,1989,5,1,,,1874.79821777344
"H01406-04-01","P01406-004","102100130604",1021001306,1406,4,1,3,12,,1,21,15,3,1993,5,1,,,1874.79821777344
"H01406-04-01","P01406-005","102100130605",1021001306,1406,5,2,3,12,,1,11,31,4,2002,5,1,,,1874.79821777344
"H01406-04-01","P01406-006","102100130606",1021001306,1406,6,1,4,12,,1,5,21,7,2008,,1,,,1874.79821777344
"H01409-04-01","P01409-001","102100130901",1021001309,1409,1,2,1,12,,1,60,99,99,1953,4,1,,,1874.79821777344
"H01601-04-01","P01601-001","102100150101",1021001501,1601,1,1,1,12,,1,32,99,8,1981,1,1,,,1874.79821777344
"H01601-04-01","P01601-007",,1021001501,,6,2,2,12,,1,21,18,12,1991,1,1,,,1874.79821777344
"H01601-04-01","P01601-008",,1021001501,,7,2,3,0,1,1,,5,6,2014,,1,,,1874.79821777344
"H01604-04-01","P01604-001","102100150401",1021001504,1604,1,1,1,12,,1,73,29,4,1940,3,1,,,1874.79821777344
"H01604-04-01","P01604-013",,1021001504,,2,2,4,4,15,4,16,1,12,1996,5,1,,,1874.79821777344
"H01605-04-01","P01605-001","102100150501",1021001505,1605,1,2,1,12,,1,54,28,1,1960,4,1,,,1874.79821777344
"H01605-04-01","P01605-002","102100150502",1021001505,1605,9,1,3,12,,1,30,28,1,1984,5,1,,,1874.79821777344
"H01605-04-01","P01605-008","102100150508",1021001505,1605,15,1,8,12,,1,42,14,7,1971,5,1,,,1874.79821777344
"H01605-04-01","P01605-010","102100150510",1021001505,1605,17,1,10,12,,1,49,1,1,1965,2,1,,,1874.79821777344
"H01605-04-01","P01605-015","102100150515",1021001505,1605,22,2,10,12,,1,31,99,99,1982,1,1,,,1874.79821777344
"H01605-04-01","P01605-021",,1021001505,,5,1,8,12,,1,32,99,99,1981,1,1,,,1874.79821777344
"H01605-04-01","P01605-026",,1021001505,,26,2,10,1,4,3,15,99,99,1998,5,1,,,1874.79821777344
"H01607-04-01","P01607-001","102100150701",1021001507,1607,1,2,1,12,,1,54,22,2,1960,3,1,,,1874.79821777344
"H01607-04-01","P01607-002","102100150702",1021001507,1607,2,2,3,12,,1,35,6,11,1978,3,1,,,1874.79821777344
"H01607-04-01","P01607-003","102100150703",1021001507,1607,3,1,3,12,,1,26,99,12,1987,5,1,,,1874.79821777344
"H01607-04-01","P01607-004","102100150704",1021001507,1607,4,1,3,12,,1,18,7,4,1996,5,1,,,1874.79821777344
"H01607-04-01","P01607-005","102100150705",1021001507,1607,5,2,3,12,,1,16,15,4,1998,5,1,,,1874.79821777344
"H01607-04-01","P01607-006","102100150706",1021001507,1607,6,2,3,12,,1,11,24,12,2002,5,1,,,1874.79821777344
"H01607-04-01","P01607-007","102100150707",1021001507,1607,7,1,4,12,,1,8,22,10,2005,,1,,,1874.79821777344
"H01607-04-01","P01607-010","102100150710",1021001507,1607,8,2,3,12,,1,29,99,4,1985,5,1,,,1874.79821777344
"H01607-04-01","P01607-011","102100150711",1021001507,1607,9,2,4,12,,1,4,12,2,2010,,1,,,1874.79821777344
"H01607-04-01","P01607-012",,1021001507,,10,2,4,12,,4,16,99,99,1997,5,1,,,1874.79821777344
"H01607-04-01","P01607-013",,1021001507,,11,2,4,12,,1,8,2,1,2006,,1,,,1874.79821777344
"H01612-04-01","P01612-002","102100151202",1021001512,1612,1,2,7,12,,1,23,99,99,1990,5,1,,,1874.79821777344
"H01612-04-01","P01612-003","102100151203",1021001512,1612,2,2,1,12,,1,29,99,99,1984,3,1,,,1874.79821777344
"H01612-04-01","P01612-004","102100151204",1021001512,1612,3,2,8,12,,1,27,99,99,1986,3,1,,,1874.79821777344
"H01612-04-01","P01612-007",,1021001512,,4,2,8,12,,1,5,99,99,2008,,1,,,1874.79821777344
"H01612-04-01","P01612-008",,1021001512,,5,2,8,12,,1,0,9,7,2013,,1,,,1874.79821777344
"H01801-04-01","P01801-001","102100170101",1021001701,1801,1,1,1,12,,1,48,15,5,1965,1,1,,,1874.79821777344
"H01801-04-01","P01801-002","102100170102",1021001701,1801,2,2,2,12,,1,29,99,99,1984,1,1,,,1874.79821777344
"H01801-04-01","P01801-004","102100170104",1021001701,1801,3,1,3,12,,1,17,99,99,1996,5,1,,,1874.79821777344
